id,program_name,university_name,official_url,review_status,suggested_original_fee_rule,rationale
poland-poznan-university-of-life-sciences-crop-plant-biology-and-production-poznan-bachelor,Crop Plant Biology and Production,Poznań University of Life Sciences,https://dwm.up.poznan.pl/node/78,unresolved,,No safe fee rule found yet
poland-adam-mickiewicz-university-poznan-cultural-studies-poznan-master,Cultural studies,"Adam Mickiewicz University, Poznań","https://rekrutacja.amu.edu.pl/en/studies-cataloge/kulturoznawstwo,277",unresolved,,No safe fee rule found yet
poland-military-university-of-technology-data-engineering-warsaw-master,Data Engineering,Military University of Technology,https://www.wojsko-polskie.pl/wat/en/master-studies-data-science/,unresolved,,No safe fee rule found yet
poland-gdansk-university-of-technology-data-engineering-gdansk-bachelor,Data Engineering,Gdańsk University of Technology,https://pg.edu.pl/en/node/8147,conditional,85 PLN or 100 PLN; 150 PLN for Architecture,Bachelor fee can vary by candidate document pathway
poland-medical-university-of-silesia-dentistry-silesia-master,Dentistry,Medical University of Silesia,https://study.gov.pl/university/medical-university-silesia,unresolved,,No safe fee rule found yet
poland-medical-university-of-warsaw-dentistry-warsaw-master,Dentistry,Medical University of Warsaw,http://wld.wum.edu.pl/en,unresolved,,No safe fee rule found yet
poland-wroc-aw-medical-university-dentistry-wroc-aw-master,Dentistry,Wrocław Medical University,http://www.ed.umed.wroc.pl/content/ed-curriculum,unresolved,,No safe fee rule found yet
poland-poznan-university-of-medical-sciences-dentistry-poznan-master,Dentistry,Poznan University of Medical Sciences,https://pums.ump.edu.pl/admissions/dentistry.html,unresolved,,No safe fee rule found yet
poland-jagiellonian-university-in-krakow-drug-discovery-and-development-krakow-master,Drug Discovery and Development,Jagiellonian University in Kraków,https://studia.uj.edu.pl/en_GB/kierunki/wfarm/drug.disc.deve,unresolved,,No safe fee rule found yet
poland-jagiellonian-university-in-krakow-earth-sciences-in-a-changing-world-krakow-bachelor,Earth Sciences in a Changing World,Jagiellonian University in Kraków,https://studia.uj.edu.pl/en_GB/kierunki/wgig/earth.scie.chan.worl,unresolved,,No safe fee rule found yet
poland-university-of-warsaw-economics-warsaw-master,Economics,University of Warsaw,http://www.wne.uw.edu.pl/index.php/en/candidates/,conditional,85 PLN or 100 PLN,Programme-level exam rules still vary by pathway
poland-poznan-university-of-life-sciences-economics-and-finance-management-in-agri-food-sector-poznan-bachelor,Economics and Finance Management in Agri-Food Sector,Poznań University of Life Sciences,https://wes.up.poznan.pl/pl/sie_student/bsc,unresolved,,No safe fee rule found yet
poland-poznan-university-of-economics-and-business-economics-and-it-applications-poznan-master,Economics and IT Applications,Poznań University of Economics and Business,"http://ue.poznan.pl/en/programmes,c7330/master,c7333/financial-engineering,c9010/",unresolved,,No safe fee rule found yet
poland-polish-japanese-academy-of-information-technology-economics-and-it-applications-warsaw-bachelor,Economics and IT Applications,Polish-Japanese Academy of Information Technology,https://pja.edu.pl/en/zarzadzanie-informacja/zarzadzanie-informacja-studia-i-stopnia-anglojezyczne/11905-2/,unresolved,,No safe fee rule found yet
poland-warsaw-university-of-life-sciences-sggw-economy-warsaw-master,Economy,Warsaw University of Life Sciences - SGGW,http://www.sggw.pl/en/international-cooperation_/information-for-students/sggw-studies-in-english/degree-programmes,unresolved,,No safe fee rule found yet
poland-jan-dlugosz-university-in-czestochowa-education-czestochowa-phd,Education,Jan Dlugosz University in Czestochowa,https://go-poland.pl/university/jan-dlugosz-university-czestochowa,unresolved,,No safe fee rule found yet
poland-military-university-of-technology-electrical-engineering-warsaw-master,Electrical engineering,Military University of Technology,https://www.wojsko-polskie.pl/wat/u/07/95/07956cf2-07b2-4c97-bf7a-fd64844afa8f/optoelectronics.pdf,unresolved,,No safe fee rule found yet
poland-silesian-university-of-technology-silesian-univeristy-of-technology-gliwice-bachelor,Silesian Univeristy of Technology,Silesian University of Technology,https://apply.polsl.pl/courses/course/26-bsc-electrical-engineering?search=618,unresolved,,No safe fee rule found yet
poland-silesian-university-of-technology-electrical-engineering-gliwice-master,Electrical engineering,Silesian University of Technology,https://apply.polsl.pl/courses/course/23-msc-electrical-engineering?search=634,unresolved,,No safe fee rule found yet
poland-agh-university-of-krakow-electronics-and-telecommunications-krakow-bachelor,Electronics and telecommunications,AGH University of Krakow,https://sylabusy.agh.edu.pl/en/1/2/20/1/4/4/11,unresolved,,No safe fee rule found yet
poland-military-university-of-technology-electronics-and-telecommunications-warsaw-phd,Electronics and telecommunications,Military University of Technology,https://go-poland.pl/university/military-university-technology,unresolved,,No safe fee rule found yet
poland-military-university-of-technology-electronics-and-telecommunications-warsaw-master,Electronics and telecommunications,Military University of Technology,https://www.wojsko-polskie.pl/wat/u/a6/11/a611c923-8917-469a-8f3a-9bcaca0e14f5/electronics_and_telecommunications_2023.pdf,unresolved,,No safe fee rule found yet
poland-university-of-warsaw-english-studies-warsaw-bachelor,English studies,University of Warsaw,http://www.ia.uw.edu.pl/en/admissions/degree-programmes/undergraduate-first-cycle-studies,conditional,85 PLN or 100 PLN,Programme-level exam rules still vary by pathway
poland-state-higher-vocational-school-in-walcz-english-studies-wa-cz-bachelor,English studies,State Higher Vocational School in Walcz,http://pwsz.eu/erasmus/information_for_in-coming_students/#news,unresolved,,No safe fee rule found yet
poland-nicolaus-copernicus-university-english-studies-torun-master,English studies,Nicolaus Copernicus University,https://www.umk.pl/en/admissions/in_english/english_studies_ma/,unresolved,,No safe fee rule found yet
poland-nicolaus-copernicus-university-english-studies-torun-bachelor,English studies,Nicolaus Copernicus University,https://www.umk.pl/en/admissions/in_english/english_studies_ba/,unresolved,,No safe fee rule found yet
poland-kielce-university-of-technology-environmental-engineering-kielce-bachelor,Environmental engineering,Kielce University of Technology,https://international.tu.kielce.pl/main/faculties/wisgie/courses-en/#1621599289502-7d0fdffe-5b17,unresolved,,No safe fee rule found yet
poland-rzeszow-university-of-technology-environmental-engineering-rzeszow-bachelor,Environmental engineering,Rzeszow University of Technology,http://portal.prz.edu.pl/en/bachelor-courses-in-english/,unresolved,,No safe fee rule found yet
poland-silesian-university-of-technology-environmental-engineering-gliwice-bachelor,Environmental engineering,Silesian University of Technology,https://apply.polsl.pl/en_GB/courses/course/310-bsc-environmental-engineering?search=399167,unresolved,,No safe fee rule found yet
poland-poznan-university-of-life-sciences-environmental-engineering-and-protection-poznan-master,Environmental Engineering and Protection,Poznań University of Life Sciences,https://dwm.up.poznan.pl/node/77,unresolved,,No safe fee rule found yet
poland-adam-mickiewicz-university-poznan-environmental-protection-poznan-master,Environmental protection,"Adam Mickiewicz University, Poznań",https://amu.edu.pl/en/admissions/master-degree-programs/master-of-science-in-environmental-protection,unresolved,,No safe fee rule found yet
poland-university-of-agriculture-in-krakow-environmental-protection-agriculture-in-krakow-master,Environmental protection,University of Agriculture in Krakow,http://studyagriculture.ur.krakow.pl/,unresolved,,No safe fee rule found yet
poland-jagiellonian-university-in-krakow-environmental-protection-and-management-krakow-master,Environmental Protection and Management,Jagiellonian University in Kraków,https://studia.uj.edu.pl/en_GB/kierunki/wb/enviro.prot.mana,unresolved,,No safe fee rule found yet
poland-jagiellonian-university-in-krakow-erasmus-mundus-international-master-in-central-and-east-european-russ,"Erasmus Mundus International Master in Central and East European, Russian and Eurasian Studies",Jagiellonian University in Kraków,https://ces.uj.edu.pl/programmes/graduate/erasmus-mundus-programmes/imceeres,unresolved,,No safe fee rule found yet
