id,program_name,university_name,original_deadline,action_taken
poland-wroc-aw-university-of-environmental-and-life-sciences-civil-engineering-wroc-aw-phd,Civil engineering,Wrocław University of Environmental and Life Sciences,2022-05-30,Cleared stale deadline
poland-silesian-university-of-technology-civil-engineering-gliwice-bachelor,Civil engineering,Silesian University of Technology,2020-09-15,Cleared stale deadline
poland-gdansk-university-of-technology-civil-engineering-gdansk-master,Civil engineering,Gdańsk University of Technology,2024-02-05,Cleared stale deadline
poland-nicolaus-copernicus-university-cognitive-science-torun-master,Cognitive science,Nicolaus Copernicus University,2024-08-04,Cleared stale deadline
poland-the-karol-szymanowski-academy-of-music-in-katowice-composition-and-musical-theory-katowice-bachelor,Composition and musical theory,The Karol Szymanowski Academy of Music in Katowice,2016-09-05,Cleared stale deadline
poland-the-karol-szymanowski-academy-of-music-in-katowice-composition-and-musical-theory-katowice-master,Composition and musical theory,The Karol Szymanowski Academy of Music in Katowice,2016-09-05,Cleared stale deadline
poland-wroc-aw-university-of-science-and-technology-computer-aided-engineering-wroc-aw-master,Computer aided engineering,Wrocław University of Science and Technology,2021-11-30,Cleared stale deadline
poland-warsaw-university-of-technology-computer-science-computer-science-information-systems-warsaw-bachelor,Computer science - Computer Science Information Systems,Warsaw University of Technology,2025-07-21,Cleared stale deadline
poland-warsaw-university-of-technology-computer-science-b-sc-20computer-20systems-20and-20networks-warsaw-bach,Computer science - B.Sc.%20Computer%20Systems%20And%20Networks,Warsaw University of Technology,2025-07-21,Cleared stale deadline
poland-wroc-aw-university-of-science-and-technology-computer-science-wroc-aw-master,Computer science,Wrocław University of Science and Technology,2021-11-30,Cleared stale deadline
poland-warsaw-university-of-technology-computer-science-warsaw-master,Computer science,Warsaw University of Technology,2025-07-21,Cleared stale deadline
poland-agh-university-of-krakow-computer-science-krakow-bachelor,Computer science,AGH University of Krakow,2025-09-04,Cleared stale deadline
poland-polish-japanese-academy-of-information-technology-computer-science-program-studiow-warsaw-bachelor,Computer science - Program Studiow,Polish-Japanese Academy of Information Technology,2025-09-30,Cleared stale deadline
poland-polish-japanese-academy-of-information-technology-computer-science-polish-japanese-academy-information-,Computer science - Polish Japanese Academy Information Technology,Polish-Japanese Academy of Information Technology,2025-09-30,Cleared stale deadline
poland-czestochowa-university-of-technology-artificial-intelligence-and-data-science-czestochowa-master,Artificial Intelligence and Data Science,Czestochowa University of Technology,2025-11-30,Cleared stale deadline
poland-university-of-silesia-in-katowice-computer-science-msc-silesia-in-katowice-master,Computer Science (MSc),University of Silesia in Katowice,2024-02-04,Cleared stale deadline
